Subject,Category
caiso notice summer 2001 generation rfb market participants california iso initiating request bids effort obtain 3 000 mw new generation resources allow iso operate iso control area meet applicable reliability criteria peak demand conditions summer period 2001 iso seeks acquire generation resources rfb one year agreements also consider bids require iso commitment summer periods 2002 2003 responses proposing one year arrangements prove insufficient meet iso requirements rfb attached email posted iso web site http www1 caiso com clientserv stakeholders inquiries regarding rfb directed writing electronically brian theaker noted first page rfb fuller director client relations summer generation rfb doc summer generation rfb doc,california
ca iso cal px information related 2000 market activity tim bob attached letter sent lynch explaining info thought ought made publicly available discussing ensure market access information ferc might use investigation independent analyses might undertaken anything addition information included letter lynch already publicly available ferc might use investigation ought target public release thanks alot best jeff forwarded jeff dasovich sfo ees 08 16 2000 04 14 pm james steffes 08 16 2000 04 02 pm joe hartsoe corp enron enron sarah novosel corp enron enron susan j mara sfo ees ees mary hain hou ect ect jeff dasovich sfo ees ees cc steven j kean hou ees ees richard shapiro hou ees ees paul kaufman pdx ect ect subject ca iso cal px information related 2000 market activity need come quickly strategy get market information important ferc investigation public arena keep thinking ferc require information somehow get made public right away 1 information public would helpful 2 strategy work get ferc take action jim,california
caiso notification update inter sc trades adjustment bid pro ject timeline update inter sc trades adjustment bid project timeline market participants market participants tswg expressed concern currently scheduled release time 10 minute settlements inter sc trade adjustment bid functionality result delay implementation 10 minute settlements release time frame decreased original 1 month approximately 2 weeks understanding timing concerns iso decided delay implementation inter sc trade adjustment bid therefore iso revising implementation target date inter sc trade adjustment bid first week october 1 2000 following updated project timeline prior iso making decision feedback business technical sides market participants taken consideration determined later date allow market participants additional testing time prepare successful implementation inter sc trade adjustment bid software crcommunications client relations communications project timeline final si pmi templates market participants 6 13 00 parser development 6 23 00 7 14 00 draft parser provided market participants 7 13 00 sc training 7 14 00 iso internal integration testing 8 1 00 8 25 00 market simulation 9 05 00 9 15 00 additional sc training 9 18 00 9 22 00 ferc filing week 9 18 00 implementation week 10 1 00,california
update mif meeting presentations iso website update summer 2001 preparedness mif presentation posted website update specifically addresses load programs schedule clarification vendor meeting participant meeting link take directly website http www caiso com docs 2000 06 12 200006121229457917 html fuller director client relations 916 608 7055 dfuller caiso com,california
mif presentations presentations market issues forum meeting august 9 available website link take automatically problems presentation located client services meetings training market issues forum http www caiso com docs 2000 06 12 200006121229457917 html sue happ administrative assistant client relations 916 608 7059 shapp caiso com,california
lars meeting update lars meeting scheduled august 21 ca iso folsom conference room 101a 1a b 10 00 4 00 p cannot attend conference call access 877 670 4098 pass code 129329 sue happ administrative assistant client relations 916 608 7059 shapp caiso com,california
caiso notice agenda cmr stakeholder meeting august 16 18 market participants attached please find agendas upcoming cmr stakeholder meetings held august 16 18 agenda august 162000 rtf agenda august 172000 rtf agenda august 182000 rtf plan attend meetings would like eat please forget rsvp colleen grant via email telephone cgrant caiso com 916 608 7069 regards byron woertz director client relations agenda august 162000 rtf agenda august 172000 rtf agenda august 182000 rtf,california
caiso notice aug 23rd sdg e valley rainbow stakeholder meeting market participants stakeholders draft agenda detailed studies conducted valley rainbow 500 kv project well draft summer peak spring shoulder peak base cases posted cal iso web page http www caiso com thegrid planning sdge500kvtrans html please submit comments later august 17 2000 linda brown lpbrown sdge com catalin micsa cmicsa caiso com final base cases presented stakeholder meeting scheduled august 23 2000 san diego thank catalin micsa grid planning california iso,california
caiso notice august 31 distributed generation meeting market participants market issues forum yesterday jeanne sole led presentation distributed generation presenting initial iso thinking based recent proceedings feedback participants context cpuc proceeding distributed generation iso identified iso requirements clarified revised accommodate distributed generation iso scheduled meeting august 31 folsom 10 30 3 pm discuss initial ideas clarifications revisions iso invites entities interested discussing ideas ideas related distributed generation attend schedule take issue governing board october iso distribute information initial ideas along information location meeting friday august 18 fuller director client relations,california
fw caiso notice posting key iso documents market participants iso posted following key documents iso web page 1 iso response cpuc eob summer 2000 report governor 2 iso action plan accelerate demand response generation transmission projects 3 iso report california energy issues performance may june 2000 dma 4 iso testimony provided today california state legislature terry winter president ceo encourage review items item 1 located http www caiso com bottom white bar items 2 4 located http www caiso com pubinfo recent html fuller director client relations,california
